cdmTableName,cdmFieldName,isRequired,isRequiredThreshold,cdmDatatype,cdmDatatypeThreshold,userGuidance,etlConventions,isPrimaryKey,isPrimaryKeyThreshold,isForeignKey,isForeignKeyThreshold,fkTableName,fkFieldName,fkDomain,fkDomainThreshold,fkClass,fkClassThreshold,isStandardValidConcept,isStandardValidConceptThreshold,measureValueCompleteness,measureValueCompletenessThreshold,standardConceptRecordCompleteness,standardConceptRecordCompletenessThreshold,sourceConceptRecordCompleteness,sourceConceptRecordCompletenessThreshold,sourceValueCompleteness,sourceValueCompletenessThreshold,standardConceptFieldName,plausibleValueLow,plausibleValueLowThreshold,plausibleValueHigh,plausibleValueHighThreshold,plausibleTemporalAfterTableName,plausibleTemporalAfterFieldName,plausibleTemporalAfterThreshold,plausibleDuringLife,plausibleDuringLifeThreshold
PERSON,person_id,Yes,0,integer,0,It is assumed that every person with a different unique identifier is in fact a different person and should be treated independently.,Any person linkage that needs to occur to identify unique persons should be done prior to ETL.,Yes,0,No,,,,,,,,No,,Yes,100,No,,No,,No,,,,,,,,,,No,
PERSON,gender_concept_id,Yes,0,integer,0,This field is meant to capture the biological sex at birth of the Person. This field should not be used to study gender identity issues.,Use the gender or sex value present in the data under the assumption that it is the biological sex at birth. If the source data captures gender identity it should be stored in the OBSERVATION table.,No,,Yes,0,CONCEPT,CONCEPT_ID,Gender,0,,,Yes,0,Yes,100,Yes,0,No,,No,,,,,,,,,,No,
PERSON,year_of_birth,Yes,0,integer,0,,"For data sources with date of birth, the year is extracted. For data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available.",No,,No,,,,,,,,No,,Yes,100,No,,No,,No,,,1850,0,YEAR(GETDATE())+1,0,,,,No,
PERSON,month_of_birth,No,,integer,0,,"For data sources that provide the precise date of birth, the month is extracted and stored in this field.",No,,No,,,,,,,,No,,Yes,100,No,,No,,No,,,1,0,12,0,,,,No,
PERSON,day_of_birth,No,,integer,0,,"For data sources that provide the precise date of birth, the day is extracted and stored in this field.",No,,No,,,,,,,,No,,Yes,100,No,,No,,No,,,1,0,31,0,,,,No,
PERSON,birth_datetime,No,,datetime,0,Compute age using birth_datetime.,"For data sources that provide the precise datetime of birth, store that value in this field. If birth_datetime is not provided in the source, use the following logic to infer the date: If day_of_birth is null and month_of_birth is not null then use month/1/year. If month_of_birth is null then use 1/day/year, if day_of_birth is null and month_of_birth is null then 1/1/year. If time of birth is not given use midnight (00:00:0000).",No,,No,,,,,,,,No,,Yes,100,No,,No,,No,,,'1850-01-01',0,"DATEADD(dd,1,GETDATE())",0,,,,No,
PERSON,race_concept_id,Yes,0,integer,0,,,No,,Yes,0,CONCEPT,CONCEPT_ID,Race,0,,,Yes,0,Yes,100,Yes,0,No,,No,,,,,,,,,,No,
PERSON,ethnicity_concept_id,Yes,0,integer,0,"Ethnic backgrounds as subsets of race. The OMOP CDM adheres to the OMB standards so only Concepts that represent ""Hispanic"" and ""Not Hispanic"" are stored here. If a source has more granular ethnicity information it can be found in the field ethnicity_source_value.",Ethnicity in the OMOP CDM follows the OMB Standards for Data on Race and Ethnicity: Only distinctions between Hispanics and Non-Hispanics are made. If a source provides more granular ethnicity information it should be stored in the field ethnicity_source_value.,No,,Yes,0,CONCEPT,CONCEPT_ID,Ethnicity,0,,,Yes,0,Yes,100,Yes,0,No,,No,,,,,,,,,,No,
PERSON,location_id,No,,integer,0,The location refers to the physical address of the person.,"Put the location_id from the LOCATION table here that represents the most granular location information for the person. This could be zip code, state, or county for example.",No,,Yes,0,LOCATION,LOCATION_ID,,,,,No,,Yes,100,No,,No,,No,,,,,,,,,,No,
PERSON,provider_id,No,,integer,0,The Provider refers to the last known primary care provider (General Practitioner).,Put the provider_id from the PROVIDER table of the last known general practitioner of the person.,No,,Yes,0,PROVIDER,PROVIDER_ID,,,,,No,,Yes,100,No,,No,,No,,,,,,,,,,No,
PERSON,care_site_id,No,,integer,0,The Care Site refers to where the Provider typically provides the primary care.,,No,,Yes,0,CARE_SITE,CARE_SITE_ID,,,,,No,,Yes,100,No,,No,,No,,,,,,,,,,No,
PERSON,person_source_value,No,,varchar(50),0,Use this field to link back to persons in the source data. This is typically used for error checking of ETL logic.,Some use cases require the ability to link back to persons in the source data. This field allows for the storing of the person value as it appears in the source.,No,,No,,,,,,,,No,,Yes,100,No,,No,,No,,,,,,,,,,No,
PERSON,gender_source_value,No,,varchar(50),0,This field is used to store the biological sex of the person from the source data. It is not intended for use in standard analytics but for reference only.,Put the biological sex of the person as it appears in the source data.,No,,No,,,,,,,,No,,Yes,100,No,,No,,Yes,0,GENDER_CONCEPT_ID,,,,,,,,No,
PERSON,gender_source_concept_id,No,,Integer,0,,"If the source data codes biological sex in a non-standard vocabulary, store the concept_id here.",No,,Yes,0,CONCEPT,CONCEPT_ID,,,,,No,,Yes,100,No,,Yes,0,No,,,,,,,,,,No,
PERSON,race_source_value,No,,varchar(50),0,This field is used to store the race of the person from the source data. It is not intended for use in standard analytics but for reference only.,Put the race of the person as it appears in the source data.,No,,No,,,,,,,,No,,Yes,100,No,,No,,Yes,0,RACE_CONCEPT_ID,,,,,,,,No,
PERSON,race_source_concept_id,No,,Integer,0,,If the source data codes race in an OMOP supported vocabulary store the concept_id here.,No,,Yes,0,CONCEPT,CONCEPT_ID,,,,,No,,Yes,100,No,,Yes,0,No,,,,,,,,,,No,
PERSON,ethnicity_source_value,No,,varchar(50),0,This field is used to store the ethnicity of the person from the source data. It is not intended for use in standard analytics but for reference only.,"If the person has an ethnicity other than the OMB standard of ""Hispanic"" or ""Not Hispanic"" store that value from the source data here.",No,,No,,,,,,,,No,,Yes,100,No,,No,,Yes,0,ETHNICITY_CONCEPT_ID,,,,,,,,No,
PERSON,ethnicity_source_concept_id,No,,Integer,0,,"If the source data codes ethnicity in an OMOP supported vocabulary, store the concept_id here.",No,,Yes,0,CONCEPT,CONCEPT_ID,,,,,No,,Yes,100,No,,Yes,0,No,,,,,,,,,,No,
